match_id,city,decision,player_of_match,result,team_a,team_b,venue,winner_toss,winner,won_by_runs,won_by_wickets,match_date,fairplay_points_team_a,fairplay_points_team_b
548314,Visakhapatnam,bat,RG Sharma,,Deccan Chargers,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,Deccan Chargers,,5, 2012-04-09,4,4
1178429,Bengaluru,field,SO Hetmyer,,Royal Challengers Bangalore,Sunrisers Hyderabad,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,,4, 2019-05-04,5,3
419157,Bangalore,field,R McLaren,,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bangalore,57,, 2010-04-17,1,3
548375,Pune,bat,Shakib Al Hasan,,Pune Warriors,Kolkata Knight Riders,Subrata Roy Sahara Stadium,Kolkata Knight Riders,Kolkata Knight Riders,34,, 2012-05-19,5,4
392234,Durban,bat,M Muralitharan,,Chennai Super Kings,Kings XI Punjab,Kingsmead,Chennai Super Kings,Chennai Super Kings,24,, 2009-05-20,2,4
548317,Mumbai,field,KA Pollard,,Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,27,, 2012-04-11,1,5
598055,Pune,bat,MG Johnson,,Pune Warriors,Mumbai Indians,Subrata Roy Sahara Stadium,Mumbai Indians,Pune Warriors,,5, 2013-05-11,5,4
1136609,Kolkata,field,Kuldeep Yadav,,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Kolkata Knight Riders,Kolkata Knight Riders,,6, 2018-05-15,3,1
501235,Jaipur,field,LRPL Taylor,,Rajasthan Royals,Pune Warriors,Sawai Mansingh Stadium,Rajasthan Royals,Rajasthan Royals,,6, 2011-05-01,5,1
1178426,Mumbai,bat,JJ Bumrah,tie,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,Mumbai Indians,,,, 2019-05-02,3,2
392188,Cape Town,bat,AC Gilchrist,,Royal Challengers Bangalore,Deccan Chargers,Newlands,Deccan Chargers,Deccan Chargers,24,, 2009-04-22,3,1
419162,Mumbai,bat,KA Pollard,,Royal Challengers Bangalore,Mumbai Indians,Dr DY Patil Sports Academy,Mumbai Indians,Mumbai Indians,35,, 2010-04-21,4,4
392199,Durban,bat,MV Boucher,,Royal Challengers Bangalore,Kolkata Knight Riders,Kingsmead,Royal Challengers Bangalore,Kolkata Knight Riders,,5, 2009-04-29,5,1
419152,Mumbai,bat,KA Pollard,,Mumbai Indians,Delhi Daredevils,Brabourne Stadium,Mumbai Indians,Mumbai Indians,39,, 2010-04-13,2,3
501257,Dharamsala,field,PP Chawla,,Kings XI Punjab,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Delhi Daredevils,29,, 2011-05-15,1,1
829815,Hyderabad,bat,MJ McClenaghan,,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Sunrisers Hyderabad,,9, 2015-05-17,5,2
419128,Bangalore,field,KM Jadhav,,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,Delhi Daredevils,Royal Challengers Bangalore,17,, 2010-03-25,3,3
598073,Kolkata,bat,KA Pollard,,Chennai Super Kings,Mumbai Indians,Eden Gardens,Mumbai Indians,Mumbai Indians,23,, 2013-05-26,5,5
419154,Jaipur,bat,KP Pietersen,,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Royal Challengers Bangalore,Rajasthan Royals,,5, 2010-04-14,4,4
